,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,label
66,0.1029082774049217,0.15883668903803133,0.2841163310961969,0.4541387024608501,0.0,0.0,0.0,0.0,1
67,0.09328358208955224,0.03917910447761194,0.13805970149253732,0.7294776119402985,0.0,0.0,0.0,0.0,0
68,0.057971014492753624,0.14492753623188406,0.47246376811594204,0.32463768115942027,0.0,0.0,0.0,0.0,1
69,0.0,0.4039408866995074,0.5960591133004927,0.0,0.0,0.0,0.0,0.0,2
70,0.0,0.4774774774774775,0.5225225225225225,0.0,0.0,0.0,0.0,0.0,2
71,0.0,0.4577883472057075,0.5422116527942925,0.0,0.0,0.0,0.0,0.0,0
72,0.0,0.4261682242990654,0.5738317757009346,0.0,0.0,0.0,0.0,0.0,0
73,0.0,0.4250614250614251,0.5749385749385749,0.0,0.0,0.0,0.0,0.0,0
74,0.0,0.4622543950361944,0.5377456049638056,0.0,0.0,0.0,0.0,0.0,2
75,0.0,0.46955503512880564,0.5304449648711944,0.0,0.0,0.0,0.0,0.0,2
76,0.0,0.4354243542435424,0.5645756457564576,0.0,0.0,0.0,0.0,0.0,0
77,0.0,0.45194805194805193,0.548051948051948,0.0,0.0,0.0,0.0,0.0,0
78,0.0,0.445440956651719,0.554559043348281,0.0,0.0,0.0,0.0,0.0,2
79,0.06375838926174497,0.174496644295302,0.3691275167785235,0.3926174496644295,0.0,0.0,0.0,0.0,1
80,0.005714285714285714,0.22285714285714286,0.6571428571428571,0.11428571428571428,0.0,0.0,0.0,0.0,2
81,0.06834170854271357,0.12864321608040202,0.4130653266331658,0.38994974874371857,0.0,0.0,0.0,0.0,1
82,0.0,0.38636363636363635,0.045454545454545456,0.5681818181818182,0.0,0.0,0.0,0.0,0
83,0.05091649694501019,0.09368635437881874,0.47046843177189407,0.384928716904277,0.0,0.0,0.0,0.0,1
84,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.40606060606060607,0.503030303030303,1
85,0.08201892744479496,0.0,0.0,0.0,0.0,0.0,0.03995793901156677,0.8780231335436383,2
86,0.07203389830508475,0.0,0.0,0.0,0.0,0.0,0.025423728813559324,0.902542372881356,2
87,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.06994047619047619,0.8407738095238095,2
88,0.08830845771144279,0.0,0.0,0.0,0.0,0.0,0.048507462686567165,0.8631840796019901,1
89,0.11023622047244094,0.2755905511811024,0.031496062992125984,0.2204724409448819,0.36220472440944884,0.0,0.0,0.0,1
90,0.08459869848156182,0.0,0.0,0.0,0.0,0.0,0.03470715835140998,0.8806941431670282,2
91,0.07569721115537849,0.0,0.0,0.0,0.0,0.0,0.02390438247011952,0.900398406374502,1
92,0.08060747663551401,0.0,0.0,0.0,0.0,0.0,0.0455607476635514,0.8738317757009346,1
93,0.07606973058637084,0.0,0.0,0.0,0.0,0.0,0.028526148969889066,0.8954041204437401,2
94,0.07808564231738035,0.0,0.0,0.0,0.0,0.0,0.04659949622166247,0.8753148614609572,1
95,0.0,0.21904761904761905,0.23809523809523808,0.5285714285714286,0.014285714285714285,0.0,0.0,0.0,1
96,0.006666666666666667,0.08666666666666667,0.26,0.26,0.05333333333333334,0.3333333333333333,0.0,0.0,1
97,0.10285714285714286,0.11428571428571428,0.4114285714285714,0.3657142857142857,0.005714285714285714,0.0,0.0,0.0,1
98,0.13800424628450106,0.1932059447983015,0.021231422505307854,0.13800424628450106,0.5095541401273885,0.0,0.0,0.0,1
99,0.13473684210526315,0.21157894736842106,0.021052631578947368,0.17684210526315788,0.4557894736842105,0.0,0.0,0.0,2
100,0.14442013129102846,0.1925601750547046,0.015317286652078774,0.14770240700218817,0.5,0.0,0.0,0.0,2
101,0.1518987341772152,0.19831223628691982,0.004219409282700422,0.19831223628691982,0.4472573839662447,0.0,0.0,0.0,0
102,0.13348946135831383,0.21311475409836064,0.01639344262295082,0.1686182669789227,0.468384074941452,0.0,0.0,0.0,2
103,0.1362126245847176,0.18604651162790697,0.0,0.10631229235880399,0.5714285714285714,0.0,0.0,0.0,1
104,0.0799475753604194,0.15727391874180865,0.3145478374836173,0.37876802096985585,0.06946264744429882,0.0,0.0,0.0,1
105,0.10067114093959731,0.20134228187919462,0.12304250559284116,0.21476510067114093,0.36017897091722595,0.0,0.0,0.0,1
106,0.12004175365344467,0.19624217118997914,0.049060542797494784,0.1440501043841336,0.4906054279749478,0.0,0.0,0.0,1
107,0.15562403697996918,0.17565485362095531,0.0,0.12788906009244994,0.5408320493066255,0.0,0.0,0.0,1
108,0.12311015118790497,0.20302375809935205,0.019438444924406047,0.13390928725701945,0.5205183585313174,0.0,0.0,0.0,1
109,0.0,0.23076923076923078,0.49255583126550867,0.27667493796526055,0.0,0.0,0.0,0.0,1
110,0.03125,0.14439655172413793,0.1713362068965517,0.32112068965517243,0.1713362068965517,0.16056034482758622,0.0,0.0,0
111,0.03125,0.13469827586206898,0.1875,0.31573275862068967,0.3308189655172414,0.0,0.0,0.0,2
112,0.0,0.07194244604316546,0.9280575539568345,0.0,0.0,0.0,0.0,0.0,0
113,0.05724299065420561,0.09929906542056074,0.48014018691588783,0.3633177570093458,0.0,0.0,0.0,0.0,1
114,0.06729264475743349,0.12363067292644757,0.4538341158059468,0.35524256651017216,0.0,0.0,0.0,0.0,1
115,0.04785894206549118,0.172544080604534,0.0,0.0,0.08060453400503778,0.6523929471032746,0.04659949622166247,0.0,2
